,school name,zipcode,student size,pell grant rate,average faculty salary,fulltime faculty rate,admission test requirements,completion rate in 4 years (hawaiian or pacific islander),completion rate in 4 years (american indian),completion rate in 4 years (asian),completion rate in 4 years (hispanic),completion rate in 4 years (black),completion rate in 4 years (white),total student demographic (white),total student demographic (hispanic),total student demographic (black),total student demographic (american indian),total student demographic (female),total student demographic (male),median debt for income 30001_75000,median debt for income 0-30000,median debt for income greater than 75000,median debt for noncompleters,median debt for completers,median debt for male students,median debt for independent students,median debt for female students,median debt for dependent students,faculty demographic (white),faculty demographic (2 or more race or ethnicity),faculty demographic (unknown race or ethnicity),faculty demographic (hawaiian or pacific islander),faculty demographic (hispanic),faculty demographic (black),faculty demographic (asian),faculty demographic (american indian),latest.student.share_25_older
287,Fresno City College,93741,15554.0,0.2749,10096.0,0.3916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1881,0.5947,0.0503,0.0055,0.6077,0.3923,3155.0,3500.0,3000.0,3307.0,4058.0,3200.0,3500.0,3500.0,2819.0,0.5416,0.0751,0.0429,0.0027,0.1877,0.0643,0.067,0.0161,0.3565
288,Fresno Pacific University,93702-4709,2668.0,0.6093,7738.0,0.9412,5.0,1.0,0.75,0.6364,0.6944,0.3846,0.7128,0.2549,0.5858,0.0472,0.0097,0.7279,0.2721,19000.0,19500.0,18750.0,16388.0,23146.0,18750.0,22000.0,19554.0,14945.0,0.7679,0.0179,0.0,0.0,0.125,0.0179,0.0625,0.0089,0.5722
289,Fuller Theological Seminary,91182,0.0,0.0,8325.0,0.9833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.04,0.0,0.0,0.08,0.12,0.24,0.0,0.0
290,Fullerton College,92832-2095,16287.0,0.25,10434.0,0.3807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1634,0.5924,0.0298,0.0017,0.5435,0.4565,5500.0,7883.0,5500.0,6529.0,4500.0,6504.0,9350.0,6500.0,4750.0,0.5316,0.0253,0.0633,0.0,0.2089,0.0348,0.0981,0.0032,0.271
291,Gavilan College,95020,3744.0,0.249,9594.0,0.2937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2439,0.6181,0.0235,0.0021,0.5401,0.4599,0.0,5466.0,0.0,5250.0,0.0,0.0,6459.0,0.0,4664.0,0.5135,0.0541,0.0811,0.0,0.2838,0.0135,0.0405,0.0,0.3962
292,Gemological Institute of America-Carlsbad,92008,104.0,0.1168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5385,0.1538,0.0192,0.0,0.5481,0.4519,0.0,8233.0,0.0,0.0,0.0,8233.0,8233.0,8233.0,4766.0,0.7692,0.0769,0.0,0.0,0.0385,0.0,0.0769,0.0385,0.6923
293,Glendale Community College,91208-2894,10107.0,0.3268,10426.0,0.3064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5257,0.2858,0.0254,0.0012,0.5621,0.4379,0.0,7000.0,0.0,6750.0,8972.0,6576.0,8000.0,7425.0,5500.0,0.7073,0.0146,0.0098,0.0146,0.1463,0.0146,0.0829,0.0098,0.4217
294,Glendale Career College,91203,305.0,0.4716,8000.0,0.0,0.0,0.0,1.0,0.4643,0.6279,0.3333,0.52,0.2492,0.3639,0.0557,0.0066,0.7967,0.2033,9319.0,9354.0,9500.0,4750.0,9500.0,9500.0,9500.0,9319.0,8750.0,0.25,0.0625,0.0625,0.0,0.3125,0.0625,0.25,0.0,0.7246
295,Golden Gate University,94105-2968,679.0,0.1563,9486.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3284,0.2077,0.2032,0.0162,0.2784,0.7216,23000.0,18750.0,18797.0,15368.0,29875.0,18750.0,0.0,19422.0,0.0,0.7593,0.0185,0.0,0.0,0.037,0.037,0.1481,0.0,0.9276
296,Golden West College,92647-2710,8830.0,0.2255,11874.0,0.2818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558,0.3342,0.0203,0.0017,0.5733,0.4267,5500.0,5500.0,2875.0,5250.0,7179.0,5500.0,6000.0,5250.0,4500.0,0.623,0.0,0.0164,0.0082,0.1148,0.0328,0.1967,0.0082,0.2798
297,Graduate Theological Union,94709,0.0,0.0,7390.0,0.6429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0
298,Grossmont College,92020-1799,11455.0,0.2264,7839.0,0.4036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3471,0.376,0.042,0.0031,0.6044,0.3956,4334.0,4500.0,3500.0,4500.0,8625.0,4500.0,5000.0,4500.0,3500.0,0.6265,0.0,0.0281,0.0,0.1486,0.0442,0.1044,0.004,0.3283
299,Salon Success Academy-Riverside,92506,116.0,0.7313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862,0.7155,0.0948,0.0086,0.7672,0.2328,0.0,10545.0,0.0,4211.0,11884.0,9742.0,11857.0,10534.0,9833.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.4397
300,Hartnell College,93901,8635.0,0.2451,9723.0,0.3554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1511,0.6591,0.0287,0.0037,0.514,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4925,0.0,0.0224,0.0,0.3358,0.0299,0.1045,0.0149,0.4073
301,Harvey Mudd College,91711,905.0,0.1206,14431.0,0.9604,5.0,1.0,0.0,1.0,0.8974,0.7,0.9846,0.2586,0.211,0.0453,0.0044,0.4972,0.5028,26500.0,19000.0,19500.0,10008.0,25000.0,23890.0,0.0,18221.0,0.0,0.6961,0.0196,0.0392,0.0,0.0686,0.0294,0.1471,0.0,0.0011
302,Hilltop Beauty School,94014,99.0,0.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303,0.6364,0.0303,0.1313,0.8485,0.1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.7576
303,Holy Names University,94619-1699,592.0,0.4598,8092.0,0.1795,3.0,0.6667,0.0,0.6667,0.5,0.7368,0.6667,0.1284,0.3243,0.1689,0.0034,0.6639,0.3361,15750.0,18250.0,15750.0,10000.0,24125.0,15000.0,23000.0,18000.0,15000.0,0.5143,0.0,0.0286,0.0,0.0286,0.0571,0.3714,0.0,0.2131
304,Pacifica Graduate Institute,93013,0.0,0.0,7234.0,0.1684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8485,0.0303,0.0,0.0,0.0606,0.0606,0.0,0.0,0.0
305,California State Polytechnic University-Humboldt,95521-8299,5336.0,0.515,9796.0,0.5407,3.0,0.0,0.5385,0.5789,0.441,0.2826,0.5213,0.4681,0.3285,0.0328,0.0137,0.5838,0.4162,15000.0,14283.0,14000.0,11000.0,18000.0,14630.0,16500.0,14250.0,14000.0,0.7181,0.0077,0.1042,0.0,0.0579,0.0232,0.0463,0.027,0.252
306,Humphreys University-Stockton and Modesto Campuses,95207,197.0,0.6696,5621.0,0.1346,0.0,0.0,0.0,1.0,0.5556,1.0,0.6667,0.203,0.4061,0.0711,0.0,0.7766,0.2234,22775.0,25529.0,19917.0,14966.0,35500.0,22775.0,25780.0,25000.0,21858.0,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.6784
307,Imperial Valley College,92251-0158,6385.0,0.5158,9841.0,0.5808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.9068,0.0125,0.0011,0.5801,0.4199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3841,0.0132,0.0066,0.0,0.4901,0.0464,0.0596,0.0,0.3044
308,Institute for Business and Technology,95051-1303,693.0,0.3813,5786.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981,0.6551,0.0332,0.0,0.2713,0.7287,7600.0,7600.0,5133.0,3800.0,7853.0,8867.0,8489.0,7600.0,5133.0,0.6154,0.0,0.0,0.0,0.2308,0.0,0.1538,0.0,0.4545
309,Interior Designers Institute,92660,110.0,0.2374,8130.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6,0.1545,0.0182,0.0091,0.9909,0.0091,0.0,17870.0,0.0,11566.0,22082.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7091
310,International School of Cosmetology,90036,158.0,0.5458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3165,0.4177,0.057,0.0823,0.8228,0.1772,10556.0,11637.0,10555.0,5500.0,13572.0,12958.0,13690.0,10556.0,9596.0,0.4444,0.0,0.0,0.0,0.3333,0.2222,0.0,0.0,0.5253
311,Irvine Valley College,92618-0301,9140.0,0.1796,11564.0,0.2868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3045,0.2519,0.0201,0.0025,0.4845,0.5155,4500.0,4500.0,4141.0,4500.0,6500.0,4500.0,4500.0,4500.0,4500.0,0.5724,0.0066,0.0658,0.0461,0.1382,0.0197,0.0987,0.0132,0.2352
312,Bellus Academy-El Cajon,92021,226.0,0.5813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3009,0.3053,0.1814,0.0133,0.969,0.031,6333.0,6333.0,5500.0,4727.0,6333.0,0.0,6333.0,0.0,5500.0,0.1111,0.1111,0.2222,0.0,0.2222,0.1111,0.2222,0.0,0.5664
313,American Jewish University,90077-1519,22.0,0.4762,13118.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,0.0909,0.0455,0.0,0.9091,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125
314,Reedley College,93654,3852.0,0.2731,9977.0,0.4679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1698,0.7329,0.0296,0.0023,0.5631,0.4369,3500.0,4000.0,3500.0,3500.0,2819.0,5500.0,4500.0,3495.0,3500.0,0.5163,0.0065,0.0327,0.0065,0.3268,0.0392,0.0719,0.0,0.2008
315,Life Pacific University,91773-3298,419.0,0.502,6168.0,0.2169,5.0,0.0,0.0,1.0,0.5313,0.6667,0.4054,0.3938,0.3938,0.0477,0.0143,0.5465,0.4535,13458.0,15400.0,12000.0,7500.0,22395.0,12000.0,15231.0,16659.0,13100.0,0.5556,0.0,0.0,0.0556,0.2222,0.1111,0.0556,0.0,0.2476
316,University of La Verne,91750-4401,3686.0,0.4706,9284.0,0.3388,5.0,0.6,0.0,0.6667,0.709,0.6286,0.6918,0.1744,0.6069,0.0711,0.0035,0.6034,0.3966,21250.0,21950.0,19804.0,15750.0,23500.0,20500.0,24366.0,21500.0,18500.0,0.5207,0.0184,0.1429,0.0,0.1613,0.0553,0.0968,0.0,0.32
317,Laguna College of Art and Design,92651,735.0,0.3566,9260.0,0.1337,3.0,0.0,0.0,0.8,0.6875,1.0,0.7083,0.4721,0.2327,0.0231,0.0054,0.7361,0.2639,19500.0,19500.0,15250.0,11000.0,27000.0,19500.0,28430.0,18500.0,17500.0,0.6667,0.037,0.1852,0.0,0.037,0.0,0.0741,0.0,0.1905
318,Lake Tahoe Community College,96150,1830.0,0.1458,9212.0,0.1897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4082,0.3579,0.0672,0.0093,0.3738,0.6262,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,4000.0,0.0,0.7576,0.0303,0.0606,0.0,0.1212,0.0,0.0303,0.0,0.5988
319,Lancaster Beauty School,93534,82.0,0.4821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2927,0.3659,0.2805,0.0,0.7805,0.2195,0.0,8550.0,0.0,8600.0,6333.0,9667.0,9225.0,6333.0,5500.0,0.6,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.4512
320,Laney College,94607,5722.0,0.1496,9840.0,0.3758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2045,0.2382,0.1914,0.0024,0.5229,0.4771,0.0,9426.0,0.0,9301.0,0.0,9191.0,9500.0,9500.0,6875.0,0.4274,0.0161,0.0565,0.0,0.129,0.1935,0.1774,0.0,0.4515
321,Lassen Community College,96130,1392.0,0.0978,8201.0,0.3772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.3111,0.1379,0.0201,0.2342,0.7658,0.0,5500.0,0.0,0.0,0.0,5500.0,8897.0,5500.0,5500.0,0.7907,0.0,0.0698,0.0,0.0698,0.0,0.0465,0.0233,0.6391
322,Latin American Bible Institute,91746-3099,49.0,0.3559,0.0,0.0,5.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0204,0.9796,0.0,0.0,0.551,0.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3673
323,Life Chiropractic College West,94545-2570,0.0,0.0,8027.0,0.3556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697,0.0606,0.0,0.0303,0.0606,0.0909,0.0606,0.0,0.0
324,Lincoln University,94612-2801,168.0,0.2184,6701.0,0.5806,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1548,0.0238,0.5179,0.0,0.2202,0.7798,0.0,0.0,0.0,8500.0,0.0,5500.0,0.0,28188.0,0.0,0.8462,0.0,0.0,0.0,0.0,0.0,0.1538,0.0,0.3274
325,Southern California Seminary,92019-1108,46.0,0.5,5571.0,0.3214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4565,0.2391,0.2174,0.0,0.3478,0.6522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.8261
326,La Sierra University,92505-8247,1270.0,0.4411,8020.0,0.5138,1.0,0.3333,0.0,0.463,0.4597,0.4615,0.4872,0.115,0.4591,0.074,0.0008,0.5866,0.4134,19629.0,22404.0,15000.0,10349.0,27000.0,18500.0,24781.0,18797.0,18042.0,0.5192,0.0,0.0,0.0385,0.1346,0.0192,0.1058,0.0096,0.0792
327,Loma Linda University,92350,980.0,0.3099,8935.0,0.9504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248,0.3888,0.0408,0.0,0.7367,0.2633,18088.0,21000.0,15000.0,12500.0,20854.0,17278.0,22593.0,16999.0,15000.0,0.5631,0.0327,0.0,0.0023,0.0935,0.0724,0.1893,0.0,0.5638
328,Long Beach City College,90808-1706,19918.0,0.3556,7694.0,0.3272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1461,0.5899,0.1108,0.0013,0.5702,0.4298,5000.0,8000.0,5500.0,7000.0,10500.0,7000.0,9500.0,7000.0,5000.0,0.553,0.0,0.0,0.0066,0.202,0.0828,0.1093,0.0066,0.3808
329,Southern California University of Health Sciences,90604,130.0,0.1148,7714.0,0.2335,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2385,0.3692,0.1308,0.0,0.8308,0.1692,0.0,9900.0,0.0,7600.0,11400.0,17665.0,0.0,7600.0,0.0,0.4688,0.0938,0.0,0.0,0.1563,0.125,0.1563,0.0,0.6679
330,Los Angeles Harbor College,90744-2397,5487.0,0.2011,10764.0,0.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1172,0.6045,0.0931,0.0013,0.6067,0.3933,0.0,6875.0,0.0,6875.0,0.0,5750.0,7000.0,5500.0,5000.0,0.3023,0.0,0.2326,0.0,0.2326,0.1047,0.1279,0.0,0.342
331,Los Angeles Pierce College,91371-0002,13016.0,0.2454,10522.0,0.3609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2759,0.4933,0.0459,0.001,0.5695,0.4305,9451.0,14250.0,5750.0,12500.0,12936.0,11500.0,17500.0,12730.0,5637.0,0.5683,0.0176,0.1013,0.0,0.1189,0.0661,0.1233,0.0044,0.3371
332,Los Angeles Southwest College,90047-4899,3539.0,0.2438,9976.0,0.3213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0718,0.4349,0.3781,0.002,0.6979,0.3021,0.0,10000.0,0.0,9875.0,0.0,10500.0,10500.0,9750.0,5550.0,0.125,0.0125,0.2125,0.0,0.1375,0.4625,0.0375,0.0,0.4648
333,Los Angeles Trade Technical College,90015-4181,7867.0,0.2374,11144.0,0.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0822,0.6723,0.1373,0.0017,0.4646,0.5354,0.0,9500.0,0.0,9500.0,10500.0,9274.0,9750.0,9500.0,5500.0,0.2384,0.0058,0.2384,0.0,0.2209,0.1919,0.0988,0.0058,0.4335
334,Los Angeles Valley College,91401-4096,11201.0,0.2428,10413.0,0.2899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2908,0.5132,0.0537,0.0011,0.5861,0.4139,0.0,9738.0,0.0,9500.0,10500.0,9500.0,10500.0,9500.0,5500.0,0.5389,0.0167,0.0722,0.0,0.1889,0.0667,0.0944,0.0111,0.4191
335,The Master's University and Seminary,91321-1200,1338.0,0.2456,8364.0,0.3527,2.0,0.0,0.0,0.6667,0.8824,0.4,0.7397,0.6278,0.1936,0.0247,0.012,0.4776,0.5224,17545.0,14500.0,17500.0,10500.0,20500.0,18000.0,12729.0,15000.0,17750.0,0.9565,0.0,0.0,0.0,0.0,0.0145,0.029,0.0,0.4488
336,Los Angeles City College,90029,10494.0,0.2513,11073.0,0.3287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2261,0.4929,0.0859,0.0016,0.5776,0.4224,8974.0,10000.0,5500.0,9500.0,12750.0,9884.0,10500.0,9500.0,5500.0,0.439,0.0122,0.2073,0.0,0.1585,0.0549,0.128,0.0,0.5168
337,Los Angeles County College of Nursing and Allied Health,90033-1084,180.0,0.345,11836.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2056,0.4278,0.0389,0.0111,0.7056,0.2944,0.0,9895.0,0.0,0.0,9500.0,11290.0,0.0,8125.0,0.0,0.24,0.0,0.0,0.0,0.36,0.16,0.24,0.0,0.7944
338,Los Angeles Mission College,91342-3200,6538.0,0.2004,10747.0,0.2975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1199,0.7482,0.0353,0.0017,0.6159,0.3841,0.0,10500.0,0.0,10125.0,12678.0,10500.0,11000.0,10000.0,5000.0,0.4381,0.0,0.0571,0.0,0.3143,0.0476,0.1143,0.0095,0.3394
339,Los Medanos College,94565,6919.0,0.2144,9910.0,0.4133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2114,0.4329,0.1207,0.002,0.5764,0.4236,6850.0,9500.0,6250.0,8750.0,0.0,7125.0,9500.0,9500.0,5500.0,0.5315,0.014,0.0699,0.0,0.1608,0.1259,0.0909,0.007,0.279
340,Loyola Marymount University,90045-2659,6999.0,0.1431,12022.0,0.5876,5.0,1.0,0.0,0.8429,0.7942,0.7579,0.8082,0.4243,0.2283,0.0716,0.0004,0.5358,0.4642,15750.0,13950.0,15500.0,7625.0,19500.0,15392.0,12500.0,15000.0,15644.0,0.5839,0.0129,0.0968,0.0,0.0871,0.0629,0.1306,0.0032,0.0168
341,Lu Ross Academy,93001-2729,272.0,0.4514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.7978,0.0,0.0037,0.8015,0.1985,6333.0,6333.0,6333.0,5500.0,6333.0,8412.0,6333.0,6333.0,5500.0,0.7778,0.0,0.0,0.0,0.2222,0.0,0.0,0.0,0.4044
342,Lyle's College of Beauty,93301,93.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6237,0.0108,0.0,0.9785,0.0215,0.0,6333.0,0.0,3166.0,6333.0,0.0,6333.0,0.0,4583.0,0.6667,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3871
343,Lyle's College of  Beauty,93710,103.0,0.3657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2233,0.5728,0.0583,0.0291,0.9612,0.0388,0.0,6333.0,0.0,3166.0,6333.0,0.0,6333.0,0.0,4583.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.4757
344,Lytles Redwood Empire Beauty College,95403,76.0,0.3723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6447,0.2895,0.0132,0.0395,0.9474,0.0526,6333.0,6333.0,10555.0,0.0,8682.0,0.0,6333.0,0.0,9778.0,0.875,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.3421
345,MTI College,95841-9817,550.0,0.3011,3536.0,0.2113,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3273,0.3127,0.1145,0.0073,0.7727,0.2273,7773.0,6610.0,8836.0,4360.0,8836.0,7216.0,7307.0,7043.0,6580.0,0.6,0.0,0.0,0.0,0.1333,0.0667,0.2,0.0,0.5369
346,College of Marin,94904-2590,3584.0,0.1348,12424.0,0.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4637,0.3331,0.0338,0.0028,0.5977,0.4023,0.0,10700.0,0.0,10000.0,10062.0,9500.0,10900.0,10500.0,5500.0,0.6417,0.0167,0.175,0.0,0.0917,0.0333,0.0333,0.0083,0.4488
347,Marymount California University,90275-6299,443.0,0.4194,8640.0,0.6098,0.0,0.0,0.0,0.3077,0.5222,0.2917,0.4889,0.2122,0.4673,0.0903,0.0,0.5214,0.4786,15125.0,17750.0,14500.0,8750.0,20500.0,15000.0,18125.0,15000.0,15000.0,0.76,0.0,0.0,0.0,0.04,0.12,0.08,0.0,0.0722
348,Mendocino College,95482,2223.0,0.251,10539.0,0.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4642,0.3824,0.013,0.0477,0.7067,0.2933,0.0,9500.0,0.0,9364.0,10836.0,9500.0,9625.0,9500.0,8250.0,0.6833,0.0167,0.05,0.0,0.2,0.0,0.0333,0.0,0.3845
349,Menlo College,94027-4301,743.0,0.3366,9962.0,0.2449,3.0,0.0,0.0,0.6111,0.6429,0.5833,0.4737,0.2032,0.3149,0.0525,0.0054,0.4563,0.5437,17750.0,13000.0,12000.0,8250.0,21750.0,14000.0,19284.0,13000.0,13000.0,0.2917,0.1667,0.1667,0.0,0.0417,0.0417,0.2917,0.0,0.0685
350,Merced College,95348-2806,7737.0,0.2926,8807.0,0.3576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1768,0.6276,0.0333,0.0048,0.6106,0.3894,0.0,4750.0,0.0,0.0,0.0,0.0,4750.0,0.0,3150.0,0.6374,0.0165,0.0385,0.0,0.1703,0.0604,0.0604,0.0055,0.2941
351,Merritt College,94619-3196,4798.0,0.0988,9795.0,0.2686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2003,0.2849,0.217,0.0025,0.6722,0.3278,0.0,9500.0,0.0,9500.0,0.0,10500.0,10475.0,9500.0,6000.0,0.2769,0.0769,0.0923,0.0,0.1538,0.3231,0.0769,0.0,0.4796
352,Mills College,94613,438.0,0.4563,10284.0,0.3487,5.0,0.0,0.0,0.7333,0.6053,0.8571,0.625,0.3333,0.3402,0.1301,0.0,0.9954,0.0046,16532.0,18375.0,12000.0,9500.0,21481.0,0.0,20924.0,0.0,14125.0,0.481,0.038,0.038,0.0,0.1139,0.1139,0.1772,0.0127,0.1816
353,MiraCosta College,92056-3899,10436.0,0.249,13738.0,0.2578,0.0,0.3333,0.5,0.4268,0.3255,0.2,0.3972,0.3879,0.3861,0.0356,0.0049,0.6025,0.3975,9500.0,9500.0,4359.0,9500.0,9000.0,9500.0,9500.0,9054.0,4935.0,0.5747,0.0,0.092,0.0,0.1954,0.0575,0.0632,0.0057,0.3966
354,Mission College,95054-1897,4950.0,0.1432,11776.0,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1436,0.3352,0.0356,0.0016,0.5608,0.4392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5183,0.0,0.0122,0.0,0.128,0.0732,0.2317,0.0,0.4343
355,Modern Beauty Academy,93030,81.0,0.3867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8765,0.037,0.0,0.5926,0.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5432
356,Modesto Junior College,95350-5800,12949.0,0.2984,10245.0,0.4458,0.0,0.0,0.1667,0.3068,0.1658,0.1905,0.308,0.3414,0.5342,0.0318,0.0056,0.6236,0.3764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7059,0.0039,0.0353,0.0039,0.1451,0.0471,0.051,0.0039,0.3129
357,Moler Barber College,94609-2419,346.0,0.3776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665,0.3931,0.3555,0.0231,0.422,0.578,9250.0,7253.0,5500.0,4750.0,10556.0,9500.0,9500.0,5500.0,6317.0,0.1667,0.0833,0.0,0.0833,0.1667,0.3333,0.1667,0.0,0.5838
358,Middlebury Institute of International Studies at Monterey,93940,13.0,0.3077,10138.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5385,0.1538,0.0,0.0,0.3077,0.6923,11975.0,7303.0,13153.0,8000.0,13857.0,12000.0,4386.0,10406.0,12482.0,0.5507,0.0,0.1449,0.0,0.058,0.0,0.1594,0.0,0.6923
359,Monterey Peninsula College,93940-4799,5706.0,0.17,9447.0,0.3692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326,0.469,0.03,0.0028,0.5519,0.4481,8500.0,9500.0,5500.0,7853.0,0.0,6875.0,9500.0,9000.0,5500.0,0.6378,0.0079,0.0,0.0236,0.1339,0.0551,0.0945,0.0157,0.438
360,Moorpark College,93021-1695,11336.0,0.1524,9615.0,0.3353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4005,0.4047,0.0213,0.0021,0.543,0.457,6750.0,9080.0,5500.0,6725.0,9500.0,6500.0,10400.0,8000.0,5500.0,0.657,0.0349,0.0349,0.0,0.1453,0.0174,0.0814,0.0,0.2505
361,Mt San Antonio College,91789-1399,22907.0,0.313,11256.0,0.4143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0936,0.6368,0.0357,0.0016,0.5411,0.4589,5250.0,5500.0,4500.0,5500.0,5880.0,5500.0,6900.0,5250.0,4500.0,0.4562,0.0337,0.1169,0.009,0.2135,0.036,0.1169,0.0067,0.3263
362,Mount Saint Mary's University,90049-1599,1898.0,0.5569,10354.0,0.3191,3.0,0.0,0.0,0.6667,0.595,0.5,0.6471,0.0964,0.5674,0.0601,0.0021,0.9368,0.0632,23250.0,22375.0,18914.0,11941.0,25949.0,16000.0,22085.0,22291.0,22250.0,0.6889,0.0444,0.0,0.0,0.0815,0.0815,0.1037,0.0,0.2306
363,Mt San Jacinto Community College District,92583-2399,12452.0,0.2728,11084.0,0.1757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2681,0.485,0.0538,0.0045,0.5997,0.4003,0.0,0.0,0.0,0.0,0.0,0.0,8610.0,0.0,4760.0,0.5683,0.0055,0.0383,0.0055,0.2568,0.0601,0.0492,0.0164,0.3721
